match,player_name,goals,assists,shots_on_target,tackles
Opponent 1,Marc-André ter Stegen,0,0,0,0
Opponent 1,Jules Koundé,0,0,2,4
Opponent 1,Ronald Araújo,0,1,0,8
Opponent 1,Andreas Christensen,0,0,0,3
Opponent 1,Alejandro Balde,0,0,0,6
Opponent 1,Frenkie de Jong,0,0,3,5
Opponent 1,Pedri,0,3,3,2
Opponent 1,Gavi,0,2,0,2
Opponent 1,Raphinha,0,0,3,1
Opponent 1,Robert Lewandowski,1,1,5,1
Opponent 1,Lamine Yamal,1,1,4,2
Opponent 2,Marc-André ter Stegen,0,0,0,1
Opponent 2,Jules Koundé,0,0,0,6
Opponent 2,Ronald Araújo,0,1,2,3
Opponent 2,Andreas Christensen,0,0,2,5
Opponent 2,Alejandro Balde,0,1,0,8
Opponent 2,Frenkie de Jong,1,3,2,2
Opponent 2,Pedri,0,0,3,6
Opponent 2,Gavi,0,3,2,6
Opponent 2,Raphinha,1,0,4,2
Opponent 2,Robert Lewandowski,2,1,6,1
Opponent 2,Lamine Yamal,1,0,4,2
Opponent 3,Marc-André ter Stegen,0,0,0,0
Opponent 3,Jules Koundé,0,1,1,3
Opponent 3,Ronald Araújo,0,0,0,8
Opponent 3,Andreas Christensen,0,0,2,3
Opponent 3,Alejandro Balde,0,1,0,4
Opponent 3,Frenkie de Jong,0,1,3,5
Opponent 3,Pedri,1,1,1,2
Opponent 3,Gavi,0,0,3,5
Opponent 3,Raphinha,0,0,4,0
Opponent 3,Robert Lewandowski,0,1,4,0
Opponent 3,Lamine Yamal,1,0,5,2
Opponent 4,Marc-André ter Stegen,0,0,0,0
Opponent 4,Jules Koundé,0,0,0,7
Opponent 4,Ronald Araújo,0,0,1,6
Opponent 4,Andreas Christensen,0,0,1,5
Opponent 4,Alejandro Balde,0,0,1,3
Opponent 4,Frenkie de Jong,0,0,0,3
Opponent 4,Pedri,1,2,1,2
Opponent 4,Gavi,0,2,3,6
Opponent 4,Raphinha,1,2,5,2
Opponent 4,Robert Lewandowski,1,0,2,2
Opponent 4,Lamine Yamal,1,1,3,0
Opponent 5,Marc-André ter Stegen,0,0,0,0
Opponent 5,Jules Koundé,0,0,2,8
Opponent 5,Ronald Araújo,0,1,2,5
Opponent 5,Andreas Christensen,0,1,1,5
Opponent 5,Alejandro Balde,0,0,2,5
Opponent 5,Frenkie de Jong,0,0,0,6
Opponent 5,Pedri,0,1,1,3
Opponent 5,Gavi,0,0,1,6
Opponent 5,Raphinha,0,0,1,0
Opponent 5,Robert Lewandowski,1,0,5,2
Opponent 5,Lamine Yamal,0,1,3,1
Opponent 6,Marc-André ter Stegen,0,0,0,0
Opponent 6,Jules Koundé,0,1,1,5
Opponent 6,Ronald Araújo,0,0,2,7
Opponent 6,Andreas Christensen,0,1,0,8
Opponent 6,Alejandro Balde,0,0,0,4
Opponent 6,Frenkie de Jong,0,0,3,2
Opponent 6,Pedri,0,0,1,6
Opponent 6,Gavi,0,0,3,4
Opponent 6,Raphinha,0,0,3,2
Opponent 6,Robert Lewandowski,0,0,1,0
Opponent 6,Lamine Yamal,1,0,4,1
Opponent 7,Marc-André ter Stegen,0,0,0,1
Opponent 7,Jules Koundé,0,0,1,5
Opponent 7,Ronald Araújo,0,1,0,6
Opponent 7,Andreas Christensen,0,0,0,4
Opponent 7,Alejandro Balde,0,0,0,3
Opponent 7,Frenkie de Jong,0,0,1,2
Opponent 7,Pedri,0,1,2,5
Opponent 7,Gavi,0,0,0,6
Opponent 7,Raphinha,1,0,5,2
Opponent 7,Robert Lewandowski,0,0,3,2
Opponent 7,Lamine Yamal,0,2,3,2
Opponent 8,Marc-André ter Stegen,0,0,0,1
Opponent 8,Jules Koundé,0,0,0,5
Opponent 8,Ronald Araújo,0,0,0,6
Opponent 8,Andreas Christensen,0,0,1,7
Opponent 8,Alejandro Balde,0,0,1,8
Opponent 8,Frenkie de Jong,0,1,2,6
Opponent 8,Pedri,0,1,2,3
Opponent 8,Gavi,0,1,2,4
Opponent 8,Raphinha,0,0,4,1
Opponent 8,Robert Lewandowski,0,1,1,0
Opponent 8,Lamine Yamal,0,0,1,0
Opponent 9,Marc-André ter Stegen,0,0,0,1
Opponent 9,Jules Koundé,0,0,1,7
Opponent 9,Ronald Araújo,0,0,0,6
Opponent 9,Andreas Christensen,0,0,0,5
