match,player_name,goals,assists,shots_on_target,tackles
Opponent 1,Alisson Becker,0,0,0,1
Opponent 1,Trent Alexander-Arnold,0,0,2,5
Opponent 1,Virgil van Dijk,0,0,2,8
Opponent 1,Ibrahima Konaté,0,0,1,6
Opponent 1,Andrew Robertson,0,0,2,8
Opponent 1,Alexis Mac Allister,2,0,2,3
Opponent 1,Dominik Szoboszlai,0,0,0,6
Opponent 1,Ryan Gravenberch,0,1,2,2
Opponent 1,Mohamed Salah,0,0,3,0
Opponent 1,Darwin Núñez,1,2,2,0
Opponent 1,Luis Díaz,0,1,1,2
Opponent 2,Alisson Becker,0,0,0,1
Opponent 2,Trent Alexander-Arnold,0,0,0,3
Opponent 2,Virgil van Dijk,0,0,0,3
Opponent 2,Ibrahima Konaté,0,0,1,6
Opponent 2,Andrew Robertson,0,0,0,8
Opponent 2,Alexis Mac Allister,0,1,1,3
Opponent 2,Dominik Szoboszlai,0,1,0,6
Opponent 2,Ryan Gravenberch,0,0,1,5
Opponent 2,Mohamed Salah,1,1,5,2
Opponent 2,Darwin Núñez,1,0,2,0
Opponent 2,Luis Díaz,0,1,2,2
Opponent 3,Alisson Becker,0,0,0,1
Opponent 3,Trent Alexander-Arnold,0,0,1,6
Opponent 3,Virgil van Dijk,0,0,2,3
Opponent 3,Ibrahima Konaté,0,0,0,8
Opponent 3,Andrew Robertson,0,0,2,4
Opponent 3,Alexis Mac Allister,0,0,0,5
Opponent 3,Dominik Szoboszlai,0,1,2,3
Opponent 3,Ryan Gravenberch,0,0,0,3
Opponent 3,Mohamed Salah,0,0,3,0
Opponent 3,Darwin Núñez,1,1,2,0
Opponent 3,Luis Díaz,0,0,2,1
Opponent 4,Alisson Becker,0,0,0,0
Opponent 4,Trent Alexander-Arnold,0,0,1,8
Opponent 4,Virgil van Dijk,0,0,2,5
Opponent 4,Ibrahima Konaté,0,0,0,7
Opponent 4,Andrew Robertson,0,0,1,7
Opponent 4,Alexis Mac Allister,0,0,0,6
Opponent 4,Dominik Szoboszlai,0,0,2,5
Opponent 4,Ryan Gravenberch,0,0,0,5
Opponent 4,Mohamed Salah,0,0,2,0
Opponent 4,Darwin Núñez,0,2,4,2
Opponent 4,Luis Díaz,1,1,2,1
Opponent 5,Alisson Becker,0,0,0,0
Opponent 5,Trent Alexander-Arnold,0,0,1,4
Opponent 5,Virgil van Dijk,0,0,2,8
Opponent 5,Ibrahima Konaté,0,0,0,6
Opponent 5,Andrew Robertson,0,0,2,7
Opponent 5,Alexis Mac Allister,1,0,1,6
Opponent 5,Dominik Szoboszlai,1,1,2,5
Opponent 5,Ryan Gravenberch,2,1,4,4
Opponent 5,Mohamed Salah,0,0,2,2
Opponent 5,Darwin Núñez,1,1,5,2
Opponent 5,Luis Díaz,3,0,6,1
Opponent 6,Alisson Becker,0,0,0,1
Opponent 6,Trent Alexander-Arnold,0,0,2,7
Opponent 6,Virgil van Dijk,0,0,0,3
Opponent 6,Ibrahima Konaté,0,0,0,7
Opponent 6,Andrew Robertson,0,0,2,6
Opponent 6,Alexis Mac Allister,2,1,2,2
Opponent 6,Dominik Szoboszlai,0,0,1,4
Opponent 6,Ryan Gravenberch,1,3,1,2
Opponent 6,Mohamed Salah,2,0,3,2
Opponent 6,Darwin Núñez,0,1,4,0
Opponent 6,Luis Díaz,0,0,3,1
Opponent 7,Alisson Becker,0,0,0,0
Opponent 7,Trent Alexander-Arnold,0,0,2,3
Opponent 7,Virgil van Dijk,1,0,1,5
Opponent 7,Ibrahima Konaté,0,0,0,4
Opponent 7,Andrew Robertson,0,0,1,8
Opponent 7,Alexis Mac Allister,0,0,1,6
Opponent 7,Dominik Szoboszlai,0,0,1,2
Opponent 7,Ryan Gravenberch,0,0,1,5
Opponent 7,Mohamed Salah,0,1,2,2
Opponent 7,Darwin Núñez,0,2,2,0
Opponent 7,Luis Díaz,0,0,2,1
Opponent 8,Alisson Becker,0,0,0,0
Opponent 8,Trent Alexander-Arnold,0,1,0,7
Opponent 8,Virgil van Dijk,0,0,0,6
Opponent 8,Ibrahima Konaté,1,0,1,4
Opponent 8,Andrew Robertson,0,0,1,5
Opponent 8,Alexis Mac Allister,2,0,5,3
Opponent 8,Dominik Szoboszlai,0,2,1,5
Opponent 8,Ryan Gravenberch,0,0,0,4
Opponent 8,Mohamed Salah,1,1,4,0
Opponent 8,Darwin Núñez,1,1,2,0
Opponent 8,Luis Díaz,0,0,4,2
Opponent 9,Alisson Becker,0,0,0,0
Opponent 9,Trent Alexander-Arnold,0,0,1,8
Opponent 9,Virgil van Dijk,0,0,0,6
Opponent 9,Ibrahima Konaté,0,0,2,4
Opponent 9,Andrew Robertson,0,0,0,8
Opponent 9,Alexis Mac Allister,1,1,2,6
Opponent 9,Dominik Szoboszlai,0,3,2,4
Opponent 9,Ryan Gravenberch,0,0,1,5
Opponent 9,Mohamed Salah,0,0,1,1
Opponent 9,Darwin Núñez,2,2,4,2
Opponent 9,Luis Díaz,0,1,3,2
Opponent 10,Alisson Becker,0,0,0,1
Opponent 10,Trent Alexander-Arnold,0,0,1,8
Opponent 10,Virgil van Dijk,0,0,0,6
Opponent 10,Ibrahima Konaté,0,0,2,7
Opponent 10,Andrew Robertson,0,0,2,8
Opponent 10,Alexis Mac Allister,0,2,1,4
Opponent 10,Dominik Szoboszlai,0,0,1,2
Opponent 10,Ryan Gravenberch,0,0,3,5
Opponent 10,Mohamed Salah,2,2,4,2
Opponent 10,Darwin Núñez,0,0,1,0
Opponent 10,Luis Díaz,0,2,1,1
Opponent 11,Alisson Becker,0,0,0,1
Opponent 11,Trent Alexander-Arnold,0,0,1,3
Opponent 11,Virgil van Dijk,0,0,2,4
Opponent 11,Ibrahima Konaté,0,0,2,4
Opponent 11,Andrew Robertson,0,1,0,3
Opponent 11,Alexis Mac Allister,0,0,1,3
Opponent 11,Dominik Szoboszlai,0,2,3,4
Opponent 11,Ryan Gravenberch,0,0,2,3
Opponent 11,Mohamed Salah,0,0,2,0
Opponent 11,Darwin Núñez,0,1,4,2
Opponent 11,Luis Díaz,3,1,6,1
Opponent 12,Alisson Becker,0,0,0,0
Opponent 12,Trent Alexander-Arnold,0,0,2,7
Opponent 12,Virgil van Dijk,0,0,0,3
Opponent 12,Ibrahima Konaté,0,0,2,6
Opponent 12,Andrew Robertson,0,0,1,8
Opponent 12,Alexis Mac Allister,0,0,0,5
Opponent 12,Dominik Szoboszlai,0,0,1,2
Opponent 12,Ryan Gravenberch,0,0,2,5
Opponent 12,Mohamed Salah,0,1,4,0
Opponent 12,Darwin Núñez,0,1,4,2
Opponent 12,Luis Díaz,0,0,4,0
Opponent 13,Alisson Becker,0,0,0,1
