match,player_name,goals,assists,shots_on_target,tackles
Opponent 1,Ederson,0,0,0,1
Opponent 1,Kyle Walker,0,0,0,4
Opponent 1,Rúben Dias,0,1,1,6
Opponent 1,John Stones,0,1,0,3
Opponent 1,Nathan Aké,0,0,2,3
Opponent 1,Rodri,1,2,3,3
Opponent 1,Kevin De Bruyne,0,0,3,4
Opponent 1,Bernardo Silva,0,0,1,5
Opponent 1,Phil Foden,3,0,5,1
Opponent 1,Erling Haaland,1,1,4,2
Opponent 1,Jack Grealish,0,1,1,0
Opponent 2,Ederson,0,0,0,1
Opponent 2,Kyle Walker,0,0,1,5
Opponent 2,Rúben Dias,0,0,2,3
Opponent 2,John Stones,0,0,2,8
Opponent 2,Nathan Aké,0,1,2,7
Opponent 2,Rodri,0,1,2,6
Opponent 2,Kevin De Bruyne,0,1,3,4
Opponent 2,Bernardo Silva,0,0,1,4
Opponent 2,Phil Foden,1,2,4,1
Opponent 2,Erling Haaland,0,0,4,1
Opponent 2,Jack Grealish,0,2,2,0
Opponent 3,Ederson,0,0,0,0
Opponent 3,Kyle Walker,0,0,2,7
Opponent 3,Rúben Dias,0,0,2,6
Opponent 3,John Stones,0,0,1,4
Opponent 3,Nathan Aké,0,0,2,5
Opponent 3,Rodri,1,2,4,4
Opponent 3,Kevin De Bruyne,0,1,1,4
Opponent 3,Bernardo Silva,0,1,2,3
Opponent 3,Phil Foden,1,2,4,1
Opponent 3,Erling Haaland,0,0,4,1
Opponent 3,Jack Grealish,1,2,3,2
Opponent 4,Ederson,0,0,0,0
Opponent 4,Kyle Walker,0,0,0,8
Opponent 4,Rúben Dias,0,0,0,7
Opponent 4,John Stones,0,0,1,4
Opponent 4,Nathan Aké,0,0,0,4
Opponent 4,Rodri,1,2,3,2
Opponent 4,Kevin De Bruyne,0,1,0,4
Opponent 4,Bernardo Silva,0,0,3,3
Opponent 4,Phil Foden,1,0,5,1
Opponent 4,Erling Haaland,0,1,1,2
Opponent 4,Jack Grealish,2,0,3,2
Opponent 5,Ederson,0,0,0,1
Opponent 5,Kyle Walker,0,0,2,8
Opponent 5,Rúben Dias,0,0,0,4
Opponent 5,John Stones,0,0,0,8
Opponent 5,Nathan Aké,0,1,2,7
Opponent 5,Rodri,0,0,3,2
Opponent 5,Kevin De Bruyne,0,1,2,5
Opponent 5,Bernardo Silva,0,0,0,5
Opponent 5,Phil Foden,0,0,3,0
Opponent 5,Erling Haaland,1,0,4,1
Opponent 5,Jack Grealish,2,1,3,1
Opponent 6,Ederson,0,0,0,1
Opponent 6,Kyle Walker,0,0,2,7
Opponent 6,Rúben Dias,0,0,0,6
Opponent 6,John Stones,1,1,2,3
Opponent 6,Nathan Aké,0,0,0,6
Opponent 6,Rodri,0,1,1,2
Opponent 6,Kevin De Bruyne,0,0,0,3
Opponent 6,Bernardo Silva,0,0,2,4
Opponent 6,Phil Foden,0,2,1,0
Opponent 6,Erling Haaland,0,0,1,0
Opponent 6,Jack Grealish,0,1,4,2
Opponent 7,Ederson,0,0,0,0
Opponent 7,Kyle Walker,0,1,0,5
Opponent 7,Rúben Dias,0,0,0,8
Opponent 7,John Stones,0,1,1,7
Opponent 7,Nathan Aké,0,0,1,8
Opponent 7,Rodri,0,0,1,4
Opponent 7,Kevin De Bruyne,0,2,2,2
