match,player_name,goals,assists,shots_on_target,tackles
Opponent 1,Thibaut Courtois,0,0,0,1
Opponent 1,Dani Carvajal,0,0,0,5
Opponent 1,Éder Militão,0,0,0,6
Opponent 1,Antonio Rüdiger,0,1,0,4
Opponent 1,Ferland Mendy,0,0,1,7
Opponent 1,Aurélien Tchouaméni,0,0,3,3
Opponent 1,Toni Kroos,0,0,2,5
Opponent 1,Federico Valverde,0,1,2,3
Opponent 1,Jude Bellingham,0,1,3,0
Opponent 1,Rodrygo,1,2,4,1
Opponent 1,Vinícius Júnior,0,0,4,0
Opponent 2,Thibaut Courtois,0,0,0,0
Opponent 2,Dani Carvajal,0,0,0,5
Opponent 2,Éder Militão,0,0,1,4
Opponent 2,Antonio Rüdiger,0,0,0,7
Opponent 2,Ferland Mendy,0,0,1,7
Opponent 2,Aurélien Tchouaméni,0,1,1,5
Opponent 2,Toni Kroos,1,1,2,4
Opponent 2,Federico Valverde,0,1,0,2
Opponent 2,Jude Bellingham,0,1,3,0
Opponent 2,Rodrygo,1,2,4,2
Opponent 2,Vinícius Júnior,0,1,1,2
Opponent 3,Thibaut Courtois,0,0,0,1
Opponent 3,Dani Carvajal,0,1,1,7
Opponent 3,Éder Militão,0,0,2,5
Opponent 3,Antonio Rüdiger,0,0,1,8
Opponent 3,Ferland Mendy,0,0,1,3
Opponent 3,Aurélien Tchouaméni,0,2,3,3
Opponent 3,Toni Kroos,0,1,2,5
Opponent 3,Federico Valverde,1,0,2,2
Opponent 3,Jude Bellingham,1,0,3,1
Opponent 3,Rodrygo,2,0,3,0
Opponent 3,Vinícius Júnior,0,1,4,2
Opponent 4,Thibaut Courtois,0,0,0,0
Opponent 4,Dani Carvajal,1,0,3,7
Opponent 4,Éder Militão,1,0,2,6
Opponent 4,Antonio Rüdiger,0,0,1,4
Opponent 4,Ferland Mendy,0,0,2,8
Opponent 4,Aurélien Tchouaméni,0,1,3,3
Opponent 4,Toni Kroos,0,3,0,4
Opponent 4,Federico Valverde,0,1,0,5
Opponent 4,Jude Bellingham,1,2,4,1
Opponent 4,Rodrygo,0,0,1,1
Opponent 4,Vinícius Júnior,1,0,2,2
Opponent 5,Thibaut Courtois,0,0,0,1
Opponent 5,Dani Carvajal,0,0,0,4
Opponent 5,Éder Militão,0,0,2,8
Opponent 5,Antonio Rüdiger,0,0,2,6
Opponent 5,Ferland Mendy,0,0,0,6
Opponent 5,Aurélien Tchouaméni,2,2,2,3
Opponent 5,Toni Kroos,0,0,2,3
Opponent 5,Federico Valverde,1,1,2,2
Opponent 5,Jude Bellingham,1,0,5,1
Opponent 5,Rodrygo,1,1,5,1
Opponent 5,Vinícius Júnior,3,0,5,1
Opponent 6,Thibaut Courtois,0,0,0,0
Opponent 6,Dani Carvajal,0,0,0,5
Opponent 6,Éder Militão,0,0,1,8
Opponent 6,Antonio Rüdiger,0,1,2,7
Opponent 6,Ferland Mendy,1,1,3,8
Opponent 6,Aurélien Tchouaméni,0,3,0,3
Opponent 6,Toni Kroos,0,0,0,6
Opponent 6,Federico Valverde,0,0,0,4
Opponent 6,Jude Bellingham,0,0,4,1
Opponent 6,Rodrygo,1,0,4,1
Opponent 6,Vinícius Júnior,0,0,3,0
Opponent 7,Thibaut Courtois,0,0,0,0
Opponent 7,Dani Carvajal,0,0,1,4
Opponent 7,Éder Militão,0,0,1,7
Opponent 7,Antonio Rüdiger,0,1,0,3
Opponent 7,Ferland Mendy,0,0,2,8
Opponent 7,Aurélien Tchouaméni,0,0,2,6
Opponent 7,Toni Kroos,1,0,4,5
Opponent 7,Federico Valverde,1,0,2,5
Opponent 7,Jude Bellingham,0,2,1,2
Opponent 7,Rodrygo,2,0,6,1
